timestamp,date,open,high,low,close,volume
1710615600,2024-03-16 19:00:00,3598.35,3641.39,3592.38,3603.01,147491.015
1710619200,2024-03-16 20:00:00,3603.02,3637.42,3580.55,3621.59,118806.974
1710622800,2024-03-16 21:00:00,3621.60,3631.80,3541.69,3558.65,241130.000
1710626400,2024-03-16 22:00:00,3558.64,3585.86,3524.40,3560.02,166622.523
1710630000,2024-03-16 23:00:00,3560.02,3560.64,3468.84,3525.58,341081.404
1710633600,2024-03-17 00:00:00,3525.57,3570.99,3507.10,3511.07,157345.319
1710637200,2024-03-17 01:00:00,3511.07,3562.94,3511.07,3561.69,132396.243
1710640800,2024-03-17 02:00:00,3561.68,3585.40,3555.08,3573.58,73085.114
1710644400,2024-03-17 03:00:00,3573.58,3577.33,3558.00,3574.37,48461.366
1710648000,2024-03-17 04:00:00,3574.38,3575.23,3552.27,3561.21,39661.954
1710651600,2024-03-17 05:00:00,3561.21,3571.93,3537.87,3548.14,55598.755
1710655200,2024-03-17 06:00:00,3548.14,3552.68,3444.98,3445.24,211158.425
1710658800,2024-03-17 07:00:00,3445.25,3485.31,3414.72,3474.33,349130.229
1710662400,2024-03-17 08:00:00,3474.32,3578.03,3462.35,3559.40,263523.430
1710666000,2024-03-17 09:00:00,3559.40,3576.60,3546.07,3558.35,121481.499
1710669600,2024-03-17 10:00:00,3558.36,3609.60,3558.13,3598.73,177639.892
1710673200,2024-03-17 11:00:00,3598.74,3610.25,3577.00,3582.47,81728.362
1710676800,2024-03-17 12:00:00,3582.47,3604.92,3531.77,3543.42,139084.539
1710680400,2024-03-17 13:00:00,3543.42,3589.00,3542.86,3577.36,128993.257
1710684000,2024-03-17 14:00:00,3577.35,3605.00,3562.97,3601.53,91373.224
1710687600,2024-03-17 15:00:00,3601.52,3650.00,3583.00,3629.96,199734.556
1710691200,2024-03-17 16:00:00,3629.95,3637.64,3604.30,3613.77,95565.487
1710694800,2024-03-17 17:00:00,3613.77,3652.41,3607.00,3647.15,63845.780
1710698400,2024-03-17 18:00:00,3647.16,3657.60,3625.15,3634.99,73271.999
1710702000,2024-03-17 19:00:00,3635.00,3658.98,3629.61,3653.38,45185.954
1710705600,2024-03-17 20:00:00,3653.39,3661.18,3634.05,3636.27,43813.345
1710709200,2024-03-17 21:00:00,3636.27,3646.41,3627.26,3641.45,28413.557
1710712800,2024-03-17 22:00:00,3641.44,3682.95,3641.44,3647.21,81528.284
1710716400,2024-03-17 23:00:00,3647.20,3658.07,3632.49,3646.99,55533.314
1710720000,2024-03-18 00:00:00,3646.99,3648.78,3578.00,3580.87,156799.283
1710723600,2024-03-18 01:00:00,3580.86,3616.67,3560.00,3605.22,113273.724
1710727200,2024-03-18 02:00:00,3605.21,3630.99,3586.64,3600.50,82211.320
1710730800,2024-03-18 03:00:00,3600.50,3620.44,3599.20,3603.58,49644.155
1710734400,2024-03-18 04:00:00,3603.58,3633.59,3580.00,3618.90,85356.589
1710738000,2024-03-18 05:00:00,3618.89,3645.87,3607.03,3636.79,74338.078
1710741600,2024-03-18 06:00:00,3636.79,3644.00,3625.27,3629.59,39077.251
1710745200,2024-03-18 07:00:00,3629.59,3638.00,3615.03,3628.97,58230.428
1710748800,2024-03-18 08:00:00,3628.96,3629.47,3564.19,3600.54,169763.830
1710752400,2024-03-18 09:00:00,3600.54,3604.51,3555.86,3565.55,127501.797
1710756000,2024-03-18 10:00:00,3565.55,3596.82,3552.07,3594.77,96834.744
1710759600,2024-03-18 11:00:00,3594.77,3618.56,3586.65,3600.76,69433.487
1710763200,2024-03-18 12:00:00,3600.77,3616.21,3580.49,3600.98,93139.437
1710766800,2024-03-18 13:00:00,3600.98,3603.08,3530.00,3549.08,253185.316
1710770400,2024-03-18 14:00:00,3549.08,3566.97,3491.94,3515.91,255476.871
1710774000,2024-03-18 15:00:00,3515.91,3533.24,3489.00,3528.17,155167.248
1710777600,2024-03-18 16:00:00,3528.17,3568.00,3496.20,3504.59,170122.176
1710781200,2024-03-18 17:00:00,3504.58,3520.48,3454.72,3511.60,252556.752
1710784800,2024-03-18 18:00:00,3511.59,3519.86,3475.45,3480.38,108804.467
1710788400,2024-03-18 19:00:00,3480.38,3511.87,3466.94,3482.09,113312.354
1710792000,2024-03-18 20:00:00,3482.09,3513.65,3482.09,3511.09,60990.848
1710795600,2024-03-18 21:00:00,3511.08,3550.00,3510.21,3529.36,93131.448
1710799200,2024-03-18 22:00:00,3529.35,3531.89,3505.10,3525.00,65327.674
1710802800,2024-03-18 23:00:00,3525.00,3549.96,3518.69,3523.43,58939.771
1710806400,2024-03-19 00:00:00,3523.44,3551.99,3451.11,3459.50,189241.375
1710810000,2024-03-19 01:00:00,3459.51,3464.85,3382.00,3394.45,425926.764
1710813600,2024-03-19 02:00:00,3394.44,3445.00,3389.71,3409.85,212800.265
1710817200,2024-03-19 03:00:00,3409.85,3441.00,3363.51,3421.68,255907.867
1710820800,2024-03-19 04:00:00,3421.68,3430.69,3369.03,3381.78,176503.877
1710824400,2024-03-19 05:00:00,3381.78,3400.18,3355.29,3385.19,180298.398
1710828000,2024-03-19 06:00:00,3385.19,3396.24,3350.00,3377.74,137574.796
1710831600,2024-03-19 07:00:00,3377.74,3378.00,3306.45,3361.60,344206.793
1710835200,2024-03-19 08:00:00,3361.60,3361.66,3228.79,3241.72,512529.966
1710838800,2024-03-19 09:00:00,3241.72,3298.19,3205.03,3293.91,444147.612
1710842400,2024-03-19 10:00:00,3293.91,3294.18,3211.70,3239.70,283511.810
1710846000,2024-03-19 11:00:00,3239.70,3284.79,3205.33,3278.91,261327.057
1710849600,2024-03-19 12:00:00,3278.91,3319.85,3255.35,3298.12,250285.559
1710853200,2024-03-19 13:00:00,3298.13,3311.34,3266.81,3294.40,191032.892
1710856800,2024-03-19 14:00:00,3294.40,3294.75,3225.00,3260.98,232787.109
1710860400,2024-03-19 15:00:00,3260.99,3327.39,3226.61,3304.63,266308.645
1710864000,2024-03-19 16:00:00,3304.63,3348.64,3290.24,3329.46,245455.369
1710867600,2024-03-19 17:00:00,3329.47,3359.70,3305.61,3316.31,185441.742
1710871200,2024-03-19 18:00:00,3316.31,3337.49,3282.00,3318.80,157388.690
1710874800,2024-03-19 19:00:00,3318.79,3363.27,3307.54,3335.56,107483.741
1710878400,2024-03-19 20:00:00,3335.55,3341.25,3267.02,3281.22,163795.984
1710882000,2024-03-19 21:00:00,3281.22,3301.48,3254.30,3293.01,114653.762
1710885600,2024-03-19 22:00:00,3293.00,3298.93,3188.00,3213.95,281434.740
1710889200,2024-03-19 23:00:00,3213.94,3220.88,3153.00,3161.00,274280.640
1710892800,2024-03-20 00:00:00,3160.99,3241.00,3158.06,3237.27,254130.040
1710896400,2024-03-20 01:00:00,3237.27,3238.76,3162.47,3177.68,222857.852
1710900000,2024-03-20 02:00:00,3177.71,3231.42,3168.00,3226.55,142147.657
1710903600,2024-03-20 03:00:00,3226.55,3266.31,3154.14,3162.24,280908.576
1710907200,2024-03-20 04:00:00,3162.28,3196.49,3109.00,3130.50,403361.464
1710910800,2024-03-20 05:00:00,3130.50,3150.00,3055.00,3111.68,486145.243
1710914400,2024-03-20 06:00:00,3111.65,3150.00,3109.26,3143.12,163530.406
1710918000,2024-03-20 07:00:00,3143.11,3228.03,3142.26,3219.73,272365.695
1710921600,2024-03-20 08:00:00,3219.73,3236.66,3207.02,3209.65,168535.672
1710925200,2024-03-20 09:00:00,3209.64,3247.60,3207.12,3236.71,128434.302
1710928800,2024-03-20 10:00:00,3236.71,3256.41,3218.46,3233.36,121842.201
1710932400,2024-03-20 11:00:00,3233.36,3298.92,3226.65,3294.54,217050.970
1710936000,2024-03-20 12:00:00,3294.55,3359.38,3277.00,3356.18,322697.551
1710939600,2024-03-20 13:00:00,3356.17,3374.95,3325.72,3347.67,266848.082
1710943200,2024-03-20 14:00:00,3347.67,3388.88,3330.00,3386.76,211801.934
1710946800,2024-03-20 15:00:00,3386.76,3399.58,3284.68,3295.09,592066.449
1710950400,2024-03-20 16:00:00,3295.08,3318.00,3142.00,3243.41,961324.242
1710954000,2024-03-20 17:00:00,3243.50,3343.25,3228.16,3301.76,450576.885
1710957600,2024-03-20 18:00:00,3301.75,3409.70,3297.87,3400.66,411485.825
1710961200,2024-03-20 19:00:00,3400.67,3401.52,3357.02,3380.82,220692.105
1710964800,2024-03-20 20:00:00,3380.82,3498.00,3372.33,3462.88,362246.882
1710968400,2024-03-20 21:00:00,3462.88,3522.96,3458.90,3501.24,178949.672
1710972000,2024-03-20 22:00:00,3501.28,3529.00,3493.42,3523.47,160624.957
1710975600,2024-03-20 23:00:00,3523.48,3539.16,3505.89,3517.80,144551.603
1710979200,2024-03-21 00:00:00,3517.80,3554.00,3496.63,3518.12,220233.781
1710982800,2024-03-21 01:00:00,3518.13,3532.49,3510.37,3528.72,73452.119
1710986400,2024-03-21 02:00:00,3528.72,3564.61,3528.72,3542.45,98504.994
1710990000,2024-03-21 03:00:00,3542.45,3557.97,3495.70,3513.01,173112.528
1710993600,2024-03-21 04:00:00,3513.18,3524.30,3487.22,3497.32,125390.302
1710997200,2024-03-21 05:00:00,3497.31,3513.99,3450.00,3512.15,205585.342
1711000800,2024-03-21 06:00:00,3512.15,3536.64,3503.22,3509.00,119117.485
1711004400,2024-03-21 07:00:00,3509.01,3541.11,3503.82,3518.79,94028.718
1711008000,2024-03-21 08:00:00,3518.80,3590.53,3518.79,3571.61,162605.164
1711011600,2024-03-21 09:00:00,3571.60,3590.00,3525.60,3539.05,165368.821
1711015200,2024-03-21 10:00:00,3539.06,3553.28,3528.00,3544.43,98422.274
1711018800,2024-03-21 11:00:00,3544.44,3552.61,3522.00,3533.33,81888.344
1711022400,2024-03-21 12:00:00,3533.38,3570.00,3525.76,3544.19,101154.397
1711026000,2024-03-21 13:00:00,3544.19,3577.00,3516.48,3522.01,224588.590
1711029600,2024-03-21 14:00:00,3522.01,3568.02,3512.48,3532.01,154507.652
1711033200,2024-03-21 15:00:00,3532.03,3536.28,3480.05,3500.83,226189.048
1711036800,2024-03-21 16:00:00,3500.82,3533.48,3487.39,3531.38,132686.270
1711040400,2024-03-21 17:00:00,3531.43,3549.46,3464.46,3475.60,190653.357
1711044000,2024-03-21 18:00:00,3475.57,3484.30,3414.06,3424.21,254019.325
1711047600,2024-03-21 19:00:00,3424.21,3454.37,3419.40,3443.60,118990.500
1711051200,2024-03-21 20:00:00,3443.58,3503.98,3414.32,3487.71,236662.528
1711054800,2024-03-21 21:00:00,3487.71,3510.76,3470.20,3506.77,58568.038
1711058400,2024-03-21 22:00:00,3506.76,3524.99,3484.58,3485.60,84301.669
1711062000,2024-03-21 23:00:00,3485.61,3502.47,3482.69,3495.16,49318.211
1711065600,2024-03-22 00:00:00,3495.16,3522.56,3474.73,3498.20,109895.705
1711069200,2024-03-22 01:00:00,3498.19,3514.24,3461.52,3465.91,91768.076
1711072800,2024-03-22 02:00:00,3465.91,3485.03,3455.17,3480.79,90272.507
1711076400,2024-03-22 03:00:00,3480.79,3531.68,3478.44,3524.94,136147.575
1711080000,2024-03-22 04:00:00,3524.94,3532.77,3503.78,3513.85,88500.229
